# nix name, luarocks name, server, version,luaversion,maintainers
luajson,,,,,
lualdap,,,,,
luafilesystem,,,,,
lrexlib-pcre,,,,,
luasocket,,,,,
luaexpat,,,,,
luaevent,,,,,
luasec,,,,,
lua-zlib,,,,,
luadbi,,,,,
